Time,TAvgFluid
0,284.2333
3600,284.17618
7200,284.0772
10800,283.99936
14400,283.94318
18000,283.90125
21600,283.87302
25200,283.85284
28800,283.23428
32400,283.4557
36000,283.3259
39600,283.139
43200,283.24725
46800,283.29657
50400,283.31674
54000,283.21066
57600,283.2149
61200,283.20908
64800,283.778
68400,283.70584
72000,283.7118
75600,283.72375
79200,283.7289
82800,283.73074
86400,283.72842
90000,283.7267
93600,283.72623
97200,283.72702
100800,283.73288
104400,283.74225
108000,283.75192
111600,283.759
115200,283.1329
118800,283.39636
122400,283.41513
126000,283.42297
129600,283.47803
133200,283.47733
136800,283.53192
140400,283.48856
144000,283.47974
147600,283.40323
151200,283.87344
154800,283.8616
158400,283.8627
162000,283.8656
165600,283.86652
169200,283.86118
172800,283.85175
176400,283.84424
180000,283.8385
183600,283.83472
187200,283.82956
190800,283.821
194400,283.8156
198000,283.80865
201600,283.80353
205200,283.8052
208800,283.8143
212400,283.82578
216000,283.83765
219600,283.82635
223200,283.7929
226800,283.7627
230400,283.7406
234000,283.72568
237600,283.7143
241200,283.70374
244800,283.69308
248400,283.67752
252000,283.6657
255600,283.66092
259200,283.6542
262800,283.64597
266400,283.64108
270000,283.63776
273600,283.63174
277200,283.6309
280800,283.63226
284400,283.62808
288000,283.6226
291600,283.63034
295200,283.66342
298800,283.73245
302400,283.80548
306000,283.85114
309600,283.86075
313200,283.83722
316800,283.76865
320400,283.7189
324000,283.69476
327600,283.679
331200,283.66766
334800,283.65976
338400,283.65326
342000,283.64322
345600,283.6313
349200,283.62167
352800,283.60925
356400,283.60168
360000,283.59882
363600,283.59534
367200,283.5918
370800,283.58725
374400,282.97562
378000,283.22156
381600,283.18176
385200,283.06992
388800,283.08884
392400,283.11615
396000,283.1435
399600,283.07016
403200,283.07098
406800,283.05127
410400,283.62164
414000,283.5565
417600,283.56058
421200,283.5711
424800,283.57294
428400,283.57196
432000,283.5649
435600,283.55804
439200,283.55115
442800,283.54788
446400,283.54984
450000,283.551
453600,283.54916
457200,283.54828
460800,283.54846
464400,283.5536
468000,283.57178
471600,283.57428
475200,283.57394
478800,283.5815
482400,283.5839
486000,283.5862
489600,283.5747
493200,283.5621
496800,283.55753
500400,283.55096
504000,283.54468
507600,283.53574
511200,283.52493
514800,283.51743
518400,283.5089
522000,283.4977
525600,283.48605
529200,283.47885
532800,283.47476
536400,283.4649
540000,283.45325
543600,283.43936
547200,283.42715
550800,283.44846
554400,283.5001
558000,283.5308
561600,283.5473
565200,283.54968
568800,283.54398
572400,283.53278
576000,283.50476
579600,283.48184
583200,283.4698
586800,283.4579
590400,283.44797
594000,283.43915
597600,283.4336
601200,283.42844
604800,283.42252
608400,283.41776
612000,283.41467
615600,283.41238
619200,283.41138
622800,283.408
626400,283.40195
630000,283.3938
633600,282.81183
637200,283.01804
640800,282.9607
644400,282.81158
648000,282.86725
651600,282.9123
655200,282.92633
658800,282.84885
662400,282.8377
666000,282.83508
669600,283.44052
673200,283.33972
676800,283.34976
680400,283.3613
684000,283.36276
687600,283.36206
691200,283.36154
694800,283.36032
698400,283.35843
702000,283.35602
705600,283.35364
709200,283.35178
712800,283.34998
716400,283.34888
720000,282.76346
723600,282.9536
727200,282.86896
730800,282.7121
734400,282.82446
738000,282.8898
741600,282.90723
745200,282.80975
748800,282.80283
752400,282.8025
756000,283.40384
759600,283.3044
763200,283.30792
766800,283.31592
770400,283.31464
774000,283.31094
777600,283.3075
781200,283.3082
