Time,TAvgFluid
0,283.8868
3600,283.76743
7200,283.6265
10800,283.52203
14400,283.44623
18000,283.38965
21600,283.35052
25200,283.32272
28800,282.6434
32400,282.77896
36000,282.65454
39600,282.4382
43200,282.52148
46800,282.58728
50400,282.62167
54000,282.51062
57600,282.49658
61200,282.48627
64800,283.1059
68400,283.1237
72000,283.1362
75600,283.14484
79200,283.15005
82800,283.15274
86400,283.1506
90000,283.1484
93600,283.1475
97200,283.14822
100800,283.15475
104400,283.16602
108000,283.1783
111600,283.1879
115200,282.50607
118800,282.68707
122400,282.73172
126000,282.75482
129600,282.8183
133200,282.8263
136800,282.88675
140400,282.848
144000,282.83224
147600,282.7453
151200,283.24487
154800,283.30954
158400,283.32446
162000,283.32553
165600,283.32495
169200,283.31888
172800,283.3078
176400,283.29807
180000,283.29044
183600,283.28528
187200,283.279
190800,283.26883
194400,283.26147
198000,283.2528
201600,283.24594
205200,283.2468
208800,283.25693
212400,283.2711
216000,283.28632
219600,283.27634
223200,283.23822
226800,283.19904
230400,283.16867
234000,283.14786
237600,283.13245
241200,283.11877
244800,283.1051
248400,283.08603
252000,283.07013
255600,283.06238
259200,283.05386
262800,283.04358
266400,283.03662
270000,283.0318
273600,283.0245
277200,283.02237
280800,283.0235
284400,283.01907
288000,283.01236
291600,283.01965
295200,283.05682
298800,283.13797
302400,283.23044
306000,283.2947
309600,283.31482
313200,283.29156
316800,283.21243
320400,283.14542
324000,283.10846
327600,283.086
331200,283.07083
334800,283.06018
338400,283.05157
342000,283.03934
345600,283.02438
349200,283.0115
352800,282.9959
356400,282.98526
360000,282.98047
363600,282.97592
367200,282.97134
370800,282.96564
374400,282.2972
378000,282.46124
381600,282.43954
385200,282.32147
388800,282.32324
392400,282.35205
396000,282.3871
399600,282.31256
403200,282.3014
406800,282.27692
410400,282.89578
414000,282.9211
417600,282.93307
421200,282.94034
424800,282.9418
428400,282.94095
432000,282.9333
435600,282.92474
439200,282.916
442800,282.9112
446400,282.91272
450000,282.91437
453600,282.91275
457200,282.9116
460800,282.9116
464400,282.91724
468000,282.938
471600,282.944
475200,282.94464
478800,282.9528
482400,282.95657
486000,282.95975
489600,282.94763
493200,282.93198
496800,282.92444
500400,282.9161
504000,282.9081
507600,282.89716
511200,282.8837
514800,282.8734
518400,282.86252
522000,282.84866
525600,282.83377
529200,282.8236
532800,282.81757
536400,282.8059
540000,282.79144
543600,282.77396
547200,282.7579
550800,282.77863
554400,282.8383
558000,282.88132
561600,282.90613
565200,282.91214
568800,282.90643
572400,282.893
576000,282.86023
579600,282.83008
583200,282.81223
586800,282.79663
590400,282.78363
594000,282.7721
597600,282.76428
601200,282.75748
604800,282.75
608400,282.74365
612000,282.73926
615600,282.73602
619200,282.7344
622800,282.73047
626400,282.72318
630000,282.7131
633600,282.0764
637200,282.202
640800,282.15543
644400,281.99228
648000,282.02728
651600,282.08072
655200,282.10574
658800,282.02502
662400,281.9994
666000,281.9913
669600,282.651
673200,282.64404
676800,282.6575
680400,282.6655
684000,282.66687
687600,282.66638
691200,282.66592
694800,282.66467
698400,282.66254
702000,282.65967
705600,282.65674
709200,282.65433
712800,282.65207
716400,282.65057
720000,282.0116
723600,282.11942
727200,282.04025
730800,281.86353
734400,281.95837
738000,282.0436
741600,282.07794
745200,281.9765
748800,281.9519
752400,281.94623
756000,282.6021
759600,282.59616
763200,282.60272
766800,282.60583
770400,282.60345
774000,282.59924
777600,282.59506
781200,282.59537
784800,282.5975
788400,282.60104
792000,282.60767
795600,282.6187
799200,282.6298
802800,282.63846
806400,282.64856
810000,282.6656
813600,282.69113
817200,282.71353
820800,282.73248
824400,282.74738
828000,282.76056
831600,282.76782
835200,282.7714
838800,282.7759
842400,282.78442
846000,282.79886
849600,282.8198
853200,282.84146
856800,282.86
860400,282.87228
864000,282.87338
867600,282.86887
871200,282.86615
874800,282.86475
878400,282.86142
882000,282.86093
885600,282.86264
889200,282.85532
892800,282.8474
896400,282.85934
900000,282.8902
903600,282.92245
907200,282.9539
910800,283.01212
914400,283.074
918000,283.09018
921600,283.0439
925200,282.9922
928800,282.96036
932400,282.9436
936000,282.9182
939600,282.89395
943200,282.88654
946800,282.87408
950400,282.85977
954000,282.8467
957600,282.83542
961200,282.82666
964800,282.8198
968400,282.81268
972000,282.80298
975600,282.79123
979200,282.11517
982800,282.30225
986400,282.40353
990000,282.42157
993600,282.43
997200,282.49063
1000800,282.5476
1004400,282.49667
1008000,282.45566
1011600,282.35974
