0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.2537119,0.02677622,0.14327994,0.23910008,-0.17293137,-0.00022507079,-0.061367963,0.011592836,-0.042176947,-0.20358856,-0.36443755,-0.42636153,0.35844243,-0.14619188,0.18430117,0.010574696,-0.13583356,-0.049517527,0.17283046,-0.4295654,-0.19077878,-0.17380376,-0.38541824,-2.00632,0.02225079,0.09369541,0.1809722,-0.30127564,-3.4643664,0.036634207,-0.06999534,0.1847048,-0.11131228,-0.15645307,0.2599352,-0.54981136,-0.09861918,-0.79690635,0.2975825,-0.30921373,-0.5792204,-0.17188887,0.26916993,-0.17960185,-0.025638528,0.16117913,0.037792057,-0.085702695,-0.08044662,-0.36526105,-0.24649811,0.034156624,0.5762729,0.024248658,-0.44627225,0.5603811,0.025568048,0.030671038,0.2986485,0.34412298,-0.1254415,0.7378359,0.2009741,0.016914498
0.20143872,0.04558347,0.047271714,0.20209977,0.081617944,-0.07323558,-0.019929266,1.1152959,0.059169736,-0.1302482,0.074521735,-0.20833242,0.11750052,0.28017816,0.016869377,-0.116321556,0.18508665,-0.10663563,0.2528045,0.092987865,0.011596066,-0.29703355,-0.08942677,-0.055384632,0.0742341,0.28422314,0.1197715,0.19028598,0.47973403,-0.063682415,0.1374027,0.23106314,0.090804085,-0.014707967,0.2291573,-0.20117012,-0.23686913,-0.11554822,0.09334682,0.25131607,0.051757712,0.06889202,0.06626691,0.0043037785,-0.071960546,0.09103441,-0.06757688,0.013292679,0.10761479,-0.0038933689,0.009904835,0.011639077,0.28620422,0.15509178,0.32494134,-0.026417002,0.24169634,0.23659588,0.36564827,0.22655402,0.0887909,0.31869107,0.018377354,0.07591021
-0.16438437,-0.07103903,-0.25338602,-0.02543503,-7.6100483,-2.5540893,-0.23167467,0.0081487335,-0.046011038,-1.4625663,-0.021092078,-0.008420089,-0.92950904,-0.2828782,-1.1373476,-3.0200005,-0.9838543,-0.66741866,-0.7698104,-0.007172658,-1.558942,-0.022624964,-0.053166367,-1.1012572,-3.8841126,-0.7062775,-0.020542547,-5.6098576,0.00067526964,-1.880768,-10.634483,-3.0900228,-0.17819943,-0.56263655,-1.0499166,0.009036957,-4.4720483,0.001120148,-2.0153182,-0.14689668,-0.0039836424,-7.6212893,-0.7068764,-3.18353,-2.3951101,-0.2721613,-4.6746755,-0.20796199,-1.486661,0.0031492012,-0.025812026,-6.1567626,-0.9773652,-6.578076,-3.148617,0.0070665535,-2.2731762,-0.8462431,-0.032230765,-0.28830904,-0.035487656,-0.3506305,-0.26838735,0.036177445
-0.12666471,-0.003952527,-0.4135124,-0.023273472,-0.04109752,-0.030156594,-0.03598242,0.006730918,-0.018067405,-0.02217701,-0.006403206,-0.007502902,-0.18372622,-0.25710332,-0.9854741,-0.0013451616,-0.05164198,-0.1045093,-0.6605919,-0.010528701,-0.06908367,0.00083567813,-0.02728513,0.03518302,-0.30948263,-0.47423968,-0.012387911,-0.029362805,0.0022161934,-1.0384904,-0.21490367,-1.7431535,-0.15472569,-0.08946895,-1.4752241,0.009472853,0.039468724,-0.0014012526,-1.963116,-0.027179075,-0.0026908352,-0.19782275,-0.28429154,-0.096563295,0.05810622,-0.094078854,-0.16061091,-0.07588435,-0.033171777,-0.0007807395,-0.01860777,0.016449522,-0.4830266,-0.036927637,0.06559138,0.0037666475,-0.13188739,-1.9511528,-0.014120986,-0.2116948,-0.019541694,-0.18886079,-0.027717983,0.04208143
-0.07739952,0.025956826,0.08100743,-0.068322055,0.07817239,0.075025946,-0.004393712,0.58530515,0.048862547,0.0037624598,0.028074753,0.33628064,0.05209286,-0.1691815,0.3373482,0.055560295,0.04293524,0.002176661,0.031464994,-0.045004126,0.100582555,-0.053863205,0.28163865,0.18794122,-0.026823064,0.080357544,-0.046594284,0.17408295,0.2125522,0.03836744,-0.02973658,0.1252644,-0.0013193642,0.06519838,0.03105381,0.9278711,-0.06406294,0.6685719,0.046948258,0.11888523,0.7007537,-0.0084882025,-0.12998797,0.0021841472,0.18585627,0.2605439,0.020587653,-0.017784746,0.031009808,-0.09234721,-0.10478819,0.03286959,-0.0652382,-0.0035343438,0.2856984,0.38729742,-0.012302883,0.07294311,-0.005210226,-0.11509719,-0.07319157,0.031716056,0.22024037,0.08863575
-0.04437076,-0.12521257,-0.035343695,0.23413353,0.070664875,-0.18750866,-0.12255955,-0.044802513,0.044711474,-0.08358824,0.24602932,0.2472159,0.05221745,-0.019094964,0.07551685,0.080939926,0.16175325,0.068796046,0.14468832,0.37004253,-0.06397222,0.0054130103,-0.30061588,0.02876677,0.18470545,0.08960371,0.21471444,0.14975831,0.0875927,0.2006853,0.25105226,0.113868184,-0.18068482,0.20044732,0.114806555,-0.6166946,0.05238049,0.1319966,0.073252544,-0.08442511,0.61266035,0.04748265,0.19682632,0.25007322,0.0081158,-0.10960849,0.07701907,0.039248664,-0.037760645,0.16865127,0.3476995,-0.033110242,0.04791141,-0.094955936,0.064849146,-0.55475557,-0.010671825,0.28828555,0.32922247,0.060894385,0.14714347,-0.21753538,0.24711579,0.08949572
-0.10248983,0.038897827,0.102208845,0.090562776,-0.06192924,-0.0009702657,0.073687375,0.1368969,0.3089321,-0.06406795,0.034738593,0.0954789,-0.06736927,-0.029731981,0.13934411,-0.1153717,0.050116897,-0.13226147,0.012689782,0.0007478197,-0.016161548,0.02292791,0.40162084,0.21807005,-0.11040734,-0.03286881,-0.014449998,-0.072837986,0.31779253,0.06729403,-2.9898765e-05,0.23752853,-0.06760219,0.011486715,-0.0020445292,0.51627123,-0.0039624586,1.1770846,0.029158317,0.32161406,0.38194728,-0.056651745,0.015042473,0.023190156,0.15606989,-0.026569705,0.013009689,-0.10509016,-0.0009939728,-0.14661431,-0.29904768,-0.04083424,-0.037872776,-0.08913503,-0.01873227,0.03092959,0.05482684,0.21541212,0.05328761,0.0853842,-0.0525123,-0.07060746,0.112843394,0.15440948
-0.31473982,-0.21458891,-0.2359544,0.35891995,0.26921657,-0.06756912,-0.10385577,-2.7333982,0.22035393,-0.059941906,0.17126618,-0.04706068,0.29947767,-0.14412117,-0.04782441,-0.12704563,0.19784203,-0.05340669,-0.056772355,0.17871132,-0.061708726,-0.09007561,0.11945386,-0.36830255,0.3451418,0.21315417,0.026861181,0.1084272,-0.5442426,0.15384416,0.3738059,-0.17979848,-0.08372281,0.37770462,-0.016109738,-0.99778163,-0.14713325,-0.17280625,0.10292923,0.009873878,-0.54625326,0.3350353,0.3379628,0.34928676,-0.074348375,-0.36450413,0.3375709,0.45004982,-0.06847428,0.19153273,-0.23628685,-0.12397001,0.17842078,-0.1301754,-0.0042272652,-1.4695066,0.11818828,-0.20211923,0.356242,0.35934362,0.07337352,0.03874541,-0.08030993,-0.08352842
-0.3270669,0.29058394,0.3253466,0.25876984,0.6889975,0.043495998,-0.00402886,0.16045557,0.26021808,0.1767489,0.3850551,0.19743392,-0.32394838,0.3328333,-0.076443896,0.21789345,0.06540817,0.38839254,0.17109357,0.08875714,0.27750677,0.14357719,0.5306389,0.5510564,0.31014544,0.16042624,0.21791482,0.34744802,0.23293553,0.4615401,0.087875955,0.15647939,0.0960837,0.46296966,-0.23996677,0.01602016,-0.060075168,-0.71129286,-0.13291514,0.1282078,-1.5124329,0.1590126,-0.037009835,-0.035536036,-0.058005333,0.04766886,-0.010771258,0.008452776,0.033930495,0.3296286,0.71256196,0.43987718,-0.14877307,0.55135196,-0.06574867,0.12834963,0.34869623,0.50342304,0.4197271,0.18637678,0.16977336,-0.37675717,0.27876285,0.09926406
0.0741155,-0.12751654,-0.006006532,0.054910738,0.05083647,-0.13010228,0.0600987,-1.3512249,0.24100707,-0.1406212,-0.16444726,-0.25965434,0.17740865,-0.11249969,0.17354523,0.034940418,0.0048731817,-0.030462014,0.14347097,0.047019735,-0.24997643,-0.19407079,-0.11937693,-0.31252998,0.26761466,0.04610114,-0.07357219,0.015921045,-0.15923594,0.1194064,0.076348364,0.15436316,-0.12719928,-0.09973765,0.27763924,-1.5934283,0.12244551,0.015658373,0.38048148,0.11328798,-0.39272594,0.14935157,0.25949425,0.007267002,0.07116356,-0.17296588,0.15539627,0.11930923,0.05987954,-0.13047586,-0.18410842,-0.10631308,0.34348348,-0.09372116,0.18238968,-2.0055542,0.22964029,0.07910008,0.23646526,0.3433822,-0.14291313,0.23401621,0.15850237,0.0065665
