Time,TAvgFluid
0,286.10968
3600,286.1191
7200,286.11496
10800,286.10236
14400,286.09082
18000,286.083
21600,286.07617
25200,286.00555
28800,285.32956
32400,285.38495
36000,285.3625
39600,285.30814
43200,285.27695
46800,285.267
50400,285.24652
54000,285.23138
57600,285.2155
61200,285.20404
64800,285.16837
68400,285.14603
72000,285.1288
75600,285.16373
79200,285.1503
82800,285.80356
86400,285.75662
90000,285.76785
93600,285.79843
97200,285.82578
100800,285.84668
104400,285.8629
108000,285.8761
111600,285.8318
115200,285.2607
118800,285.32608
122400,285.32047
126000,285.29144
129600,285.2846
133200,285.28763
136800,285.27283
140400,285.2645
144000,285.25784
147600,285.25922
151200,285.20734
154800,285.1972
158400,285.1752
162000,285.20944
165600,285.20178
169200,285.78122
172800,285.7402
176400,285.75128
180000,285.77985
183600,285.80566
187200,285.8252
190800,285.83987
194400,285.8507
198000,285.80832
201600,285.25287
205200,285.3126
208800,285.30444
212400,285.26648
216000,285.24417
219600,285.23688
223200,285.19672
226800,285.1507
230400,285.1294
234000,285.12735
237600,285.08582
241200,285.07382
244800,285.04337
248400,285.0645
252000,285.0415
255600,285.7285
259200,285.68082
262800,285.69293
266400,285.72488
270000,285.7542
273600,285.77676
277200,285.79382
280800,285.80737
284400,285.76852
288000,285.15253
291600,285.21152
295200,285.2029
298800,285.16824
302400,285.15088
306000,285.14835
309600,285.13132
313200,285.1191
316800,285.1012
320400,285.08722
324000,285.0289
327600,285.02097
331200,285.00528
334800,285.04602
338400,285.0379
342000,285.6925
345600,285.64682
349200,285.65982
352800,285.69226
356400,285.7211
360000,285.74332
363600,285.7607
367200,285.77316
370800,285.75446
374400,285.13364
378000,285.18878
381600,285.18195
385200,285.13922
388800,285.1128
392400,285.09784
396000,285.07645
399600,285.06708
403200,285.04916
406800,285.06583
410400,285.03397
414000,285.03116
417600,285.02496
421200,285.01733
424800,285.00882
428400,285.66803
432000,285.6229
435600,285.63577
439200,285.66656
442800,285.69437
446400,285.7168
450000,285.73508
453600,285.74976
457200,285.72415
460800,285.11188
464400,285.16605
468000,285.15915
471600,285.11978
475200,285.08765
478800,285.08093
482400,285.06778
486000,285.05328
489600,285.04156
493200,285.05426
496800,285.0208
500400,285.0144
504000,285.0049
507600,284.99765
511200,284.98914
514800,285.65744
518400,285.61124
522000,285.62338
525600,285.65344
529200,285.6807
532800,285.7025
536400,285.7193
540000,285.7325
543600,285.67288
547200,285.0248
550800,285.0906
554400,285.0873
558000,285.05817
561600,285.04367
565200,285.04083
568800,285.02783
572400,285.01736
576000,285.00412
579600,284.99344
583200,284.94467
586800,284.9347
590400,284.91696
594000,284.9461
597600,284.93463
601200,285.63055
604800,285.5833
608400,285.59775
612000,285.6323
615600,285.66364
619200,285.688
622800,285.707
626400,285.72195
630000,285.67593
633600,285.0357
637200,285.10333
640800,285.09686
644400,285.05905
648000,285.03345
651600,285.0254
655200,285.00684
658800,284.9902
662400,284.97797
666000,284.9758
669600,284.92807
673200,284.91666
676800,284.9018
680400,284.93234
684000,284.92215
687600,285.616
691200,285.56763
694800,285.58118
698400,285.6154
702000,285.6467
705600,285.67056
709200,285.68906
712800,285.70428
716400,285.65198
720000,285.0153
723600,285.0827
727200,285.0646
730800,285.00656
734400,284.97534
738000,284.97305
741600,284.95676
745200,284.9472
748800,284.9392
752400,284.93536
756000,284.88324
759600,284.87674
763200,284.86142
766800,284.8943
770400,284.88348
774000,285.59143
777600,285.54327
781200,285.5577
784800,285.5931
788400,285.62534
792000,285.65002
795600,285.6702
799200,285.68655
802800,285.62997
806400,285.02567
810000,285.1036
813600,285.1046
817200,285.0692
820800,285.0455
824400,285.041
828000,285.0297
831600,285.0244
835200,285.02164
838800,285.03006
842400,284.99255
846000,284.99292
849600,284.99554
853200,285.04922
856800,285.05273
860400,285.62106
864000,285.5848
867600,285.59766
871200,285.62698
874800,285.6541
878400,285.67526
882000,285.6915
885600,285.70526
889200,285.64474
892800,285.121
896400,285.17535
900000,285.17883
903600,285.148
907200,285.13162
910800,285.13403
914400,285.12457
918000,285.1187
921600,285.11105
925200,285.10706
928800,285.05267
932400,285.04224
936000,285.03503
939600,285.04684
943200,285.0259
946800,285.63693
950400,285.59445
954000,285.60617
957600,285.63593
961200,285.66302
964800,285.68445
968400,285.70132
972000,285.7145
975600,285.69913
979200,285.10406
982800,285.1487
986400,285.14502
990000,285.12146
993600,285.11737
997200,285.11707
1000800,285.10104
1004400,285.09265
1008000,285.084
1011600,285.10144
1015200,285.07434
1018800,285.06088
1022400,285.05377
1026000,285.0493
1029600,285.04535
1033200,285.64035
1036800,285.59985
1040400,285.61227
1044000,285.6416
1047600,285.66754
1051200,285.68777
1054800,285.7038
1058400,285.7171
1062000,285.6966
1065600,285.18622
1069200,285.23404
1072800,285.22815
1076400,285.18744
1080000,285.17316
1083600,285.1815
1087200,285.16748
1090800,285.157
1094400,285.14563
1098000,285.16672
1101600,285.1364
1105200,285.1278
1108800,285.11368
1112400,285.09995
1116000,285.09845
1119600,285.65317
1123200,285.61624
1126800,285.62863
1130400,285.65717
1134000,285.68353
1137600,285.70282
1141200,285.71823
1144800,285.73227
1148400,285.68207
1152000,285.1824
1155600,285.23782
1159200,285.22577
1162800,285.1939
1166400,285.18393
1170000,285.1839
1173600,285.17328
1177200,285.15845
1180800,285.14328
1184400,285.12802
1188000,285.08392
1191600,285.05457
1195200,285.03595
1198800,285.07135
1202400,285.05905
1206000,285.65002
