Time,TAvgFluid
0,286.16898
3600,286.17844
7200,286.1747
10800,286.16254
14400,286.1513
18000,286.14365
21600,286.13693
25200,286.0664
28800,285.3906
32400,285.4473
36000,285.42688
39600,285.374
43200,285.34366
46800,285.3343
50400,285.3142
54000,285.2994
57600,285.2838
61200,285.27255
64800,285.2371
68400,285.21503
72000,285.1981
75600,285.23325
79200,285.22
82800,285.87332
86400,285.82547
90000,285.83496
93600,285.86426
97200,285.89096
100800,285.91147
104400,285.92743
108000,285.9404
111600,285.89587
115200,285.32477
118800,285.39102
122400,285.38702
126000,285.35907
129600,285.3528
133200,285.35617
136800,285.34155
140400,285.33334
144000,285.3268
147600,285.32828
151200,285.27652
154800,285.26654
158400,285.24475
162000,285.2792
165600,285.27167
169200,285.85114
172800,285.8093
176400,285.8188
180000,285.84622
183600,285.87143
187200,285.8906
190800,285.905
194400,285.91562
198000,285.87302
201600,285.31754
205200,285.3781
208800,285.37152
212400,285.33463
216000,285.3129
219600,285.30597
223200,285.26608
226800,285.22028
230400,285.19928
234000,285.19757
237600,285.15628
241200,285.14453
244800,285.1143
248400,285.13568
252000,285.11288
255600,285.79996
259200,285.75137
262800,285.76166
266400,285.7923
270000,285.8209
273600,285.84302
277200,285.85974
280800,285.87305
284400,285.834
288000,285.21793
291600,285.27783
295200,285.27094
298800,285.23746
302400,285.22073
306000,285.21857
309600,285.20178
313200,285.18976
316800,285.172
320400,285.15817
324000,285.10004
327600,285.09232
331200,285.07693
334800,285.11792
338400,285.10992
342000,285.76453
345600,285.71783
349200,285.72906
352800,285.7602
356400,285.78833
360000,285.81012
363600,285.8272
367200,285.8394
370800,285.82047
374400,285.19955
378000,285.25558
381600,285.2504
385200,285.2089
388800,285.1831
392400,285.16855
396000,285.14743
399600,285.13834
403200,285.1206
406800,285.13745
410400,285.1057
414000,285.10303
417600,285.09695
421200,285.08945
424800,285.08102
428400,285.74036
432000,285.69427
435600,285.7054
439200,285.7349
442800,285.76202
446400,285.78403
450000,285.802
453600,285.8164
457200,285.79062
460800,285.1782
464400,285.23325
468000,285.228
471600,285.18985
475200,285.15836
478800,285.152
482400,285.13916
486000,285.12488
489600,285.1133
493200,285.12616
496800,285.09283
500400,285.08655
504000,285.0772
507600,285.07007
511200,285.06168
514800,285.73007
518400,285.68298
522000,285.69333
525600,285.72205
529200,285.7486
532800,285.77002
536400,285.7865
540000,285.79947
543600,285.73962
547200,285.09146
550800,285.1583
554400,285.15686
558000,285.12897
561600,285.1151
565200,285.11264
568800,285.09982
572400,285.0895
576000,285.07642
579600,285.06586
583200,285.0172
586800,285.00745
590400,284.98996
594000,285.01932
597600,285.00797
601200,285.70395
604800,285.6557
608400,285.6682
612000,285.7014
615600,285.732
619200,285.7559
622800,285.77457
626400,285.7892
630000,285.74298
633600,285.10266
637200,285.17123
640800,285.16653
644400,285.12994
648000,285.10498
651600,285.09732
655200,285.07904
658800,285.06262
662400,285.05057
666000,285.04855
669600,285.00098
673200,284.98975
676800,284.9751
680400,285.00583
684000,284.9958
687600,285.68967
691200,285.64026
694800,285.65195
698400,285.68478
702000,285.7153
705600,285.7387
709200,285.75687
712800,285.77182
716400,285.7193
720000,285.08252
723600,285.1509
727200,285.1346
730800,285.07776
734400,285.04727
738000,285.04547
741600,285.0295
745200,285.02017
748800,285.01233
752400,285.00864
756000,284.95667
759600,284.95032
763200,284.93524
766800,284.9683
770400,284.9576
774000,285.66556
777600,285.61636
781200,285.62888
784800,285.66284
788400,285.6943
792000,285.71854
795600,285.73837
799200,285.75443
802800,285.6976
806400,285.0932
810000,285.17212
813600,285.17474
817200,285.14047
820800,285.1173
824400,285.11313
828000,285.10208
831600,285.09695
835200,285.0943
838800,285.10284
842400,285.06537
846000,285.06583
849600,285.0686
853200,285.12238
856800,285.12585
860400,285.69406
864000,285.65683
867600,285.66806
871200,285.6962
874800,285.7227
878400,285.74344
882000,285.75937
885600,285.7729
889200,285.71216
892800,285.18835
896400,285.24356
900000,285.2485
903600,285.2187
907200,285.20282
910800,285.2055
914400,285.19626
918000,285.1905
921600,285.18292
925200,285.17902
928800,285.12473
932400,285.11444
936000,285.10745
939600,285.11945
943200,285.09863
946800,285.70972
950400,285.6664
954000,285.67648
957600,285.70508
961200,285.7315
964800,285.75253
968400,285.7691
972000,285.78204
975600,285.76645
979200,285.17126
982800,285.21674
986400,285.21463
990000,285.19223
993600,285.18875
997200,285.18875
1000800,285.17288
1004400,285.1646
1008000,285.15607
1011600,285.17365
1015200,285.14658
1018800,285.1332
1022400,285.1262
1026000,285.12183
1029600,285.118
1033200,285.71307
1036800,285.67172
1040400,285.6826
1044000,285.7107
1047600,285.736
1051200,285.75586
1054800,285.77158
1058400,285.78464
1062000,285.76392
1065600,285.25342
1069200,285.30197
1072800,285.29745
1076400,285.2577
1080000,285.24396
1083600,285.25262
1087200,285.23883
1090800,285.22845
1094400,285.21716
1098000,285.23837
1101600,285.20813
1105200,285.1996
1108800,285.18552
1112400,285.17194
1116000,285.17056
1119600,285.72537
1123200,285.6877
1126800,285.6986
1130400,285.72604
1134000,285.75177
1137600,285.7707
1141200,285.78583
1144800,285.79962
1148400,285.74924
1152000,285.2495
1155600,285.30573
1159200,285.29504
1162800,285.26413
1166400,285.25467
1170000,285.25497
1173600,285.24454
1177200,285.2298
1180800,285.21475
1184400,285.19962
1188000,285.15567
1191600,285.12653
1195200,285.10815
1198800,285.14383
1202400,285.13165
1206000,285.72266
1209600,285.68076
1213200,285.69138
1216800,285.7192
1220400,285.74487
1224000,285.76535
1227600,285.78018
1231200,285.79373
1234800,285.75974
1238400,285.22882
1242000,285.28033
1245600,285.2699
1249200,285.2362
1252800,285.2121
1256400,285.2036
1260000,285.1851
1263600,285.16602
1267200,285.1502
1270800,285.14572
1274400,285.0996
1278000,285.07578
1281600,285.06052
1285200,285.09073
1288800,285.07513
1292400,285.69937
1296000,285.65457
1299600,285.66553
1303200,285.6944
1306800,285.72134
1310400,285.74265
1314000,285.75827
1317600,285.77054
1321200,285.7134
1324800,285.1343
1328400,285.1857
1332000,285.1783
1335600,285.1477
1339200,285.13937
1342800,285.14944
1346400,285.136
1350000,285.11316
1353600,285.08945
1357200,285.0933
1360800,285.05762
1364400,285.03122
1368000,285.00595
1371600,285.0327
1375200,285.01443
1378800,285.6773
1382400,285.62943
1386000,285.6398
1389600,285.67117
1393200,285.69833
1396800,285.7193
1400400,285.73663
1404000,285.7509
1407600,285.69714
1411200,285.09348
1414800,285.15845
1418400,285.15033
1422000,285.11407
1425600,285.0999
1429200,285.10104
1432800,285.082
1436400,285.06732
1440000,285.05988
1443600,285.06293
1447200,285.03934
1450800,285.02615
1454400,285.00146
1458000,285.01828
1461600,285.00125
1465200,285.67584
1468800,285.62906
1472400,285.64127
1476000,285.67242
1479600,285.7015
1483200,285.72412
1486800,285.7407
1490400,285.75378
1494000,285.70975
1497600,285.12482
1501200,285.19617
1504800,285.19885
1508400,285.17044
1512000,285.15958
1515600,285.1648
1519200,285.15997
1522800,285.1578
1526400,285.16074
1530000,285.17404
1533600,285.14374
1537200,285.13397
1540800,285.12878
1544400,285.16663
1548000,285.1547
1551600,285.6978
1555200,285.66153
1558800,285.67224
1562400,285.69937
1566000,285.72437
1569600,285.7437
1573200,285.75925
1576800,285.77188
1580400,285.74878
1584000,285.24738
1587600,285.29276
1591200,285.29242
1594800,285.26056
1598400,285.2499
1602000,285.25702
1605600,285.2415
1609200,285.22162
1612800,285.204
1616400,285.23904
1620000,285.21158
1623600,285.19095
1627200,285.173
1630800,285.14957
1634400,285.13107
1638000,285.70892
1641600,285.66736
1645200,285.67596
1648800,285.70108
1652400,285.7244
1656000,285.74298
1659600,285.75677
1663200,285.76752
1666800,285.73685
1670400,285.16446
1674000,285.20978
1677600,285.20557
1681200,285.1743
1684800,285.1668
1688400,285.1782
1692000,285.1699
1695600,285.1587
1699200,285.1433
1702800,285.17603
1706400,285.1424
1710000,285.1265
1713600,285.1205
1717200,285.11707
1720800,285.11176
1724400,285.68674
1728000,285.64612
1731600,285.6557
1735200,285.68262
1738800,285.7067
1742400,285.7261
1746000,285.74222
1749600,285.75558
1753200,285.69034
1756800,285.16904
1760400,285.22778
1764000,285.2232
1767600,285.19275
1771200,285.18207
1774800,285.18088
1778400,285.15546
1782000,285.1445
1785600,285.13754
