Heating;Cooling
29.393;0
33.924;0
37.327;0
39.268;0
41.7773;0
51.9931;0
58.1393;0
45.2462;0
38.83545;0
36.72815;0
40.99545;0
45.6182;0
37.99675;0
36.37345;0
34.1383;0
39.57645;0
43.60575;0
45.5708;0
60.0745;0
64.7264;0
50.4233;0
40.83565;0
36.90505;0
34.22145;0
35.513;0
35.865;0
35.675;0
35.269;0
35.9173;0
44.5111;0
49.9853;0
36.1912;0
30.31445;0
27.23915;0
25.18445;0
25.6472;0
19.80575;0
19.31745;0
21.1423;0
23.85845;0
27.94975;0
32.2398;0
46.2845;0
50.9474;0
38.5793;0
29.25965;0
25.92605;0
23.95745;0
25.731;0
26.614;0
26.92;0
26.934;0
28.8473;0
39.4121;0
46.1843;0
33.4132;0
31.10345;0
26.98915;0
27.50945;0
31.7742;0
29.47475;0
29.34845;0
32.3033;0
35.65045;0
39.37875;0
42.4798;0
56.0725;0
61.1384;0
46.0003;0
39.48765;0
36.85505;0
34.16945;0
35.366;0
36.154;0
36.172;0
36.006;0
37.9243;0
47.3741;0
53.3633;0
41.3872;0
38.35645;0
33.65515;0
34.19745;0
31.9742;0
21.16975;0
17.93045;0
18.1923;0
27.24845;0
38.22975;0
42.9198;0
57.8345;0
61.9964;0
44.4463;0
36.58365;0
33.38905;0
31.59645;0
33.493;0
34.326;0
35.185;0
35.306;0
36.5273;0
46.2631;0
52.8303;0
40.7292;0
34.33245;0
31.73915;0
35.75645;0
40.8942;0
35.07975;0
34.38145;0
33.1863;0
38.20845;0
41.15975;0
42.3318;0
56.2005;0
60.5874;0
46.6613;0
37.63765;0
34.33005;0
32.06445;0
33.993;0
35.012;0
35.561;0
35.53;0
36.5163;0
46.0621;0
52.7953;0
40.5332;0
36.93445;0
32.85015;0
35.36745;0
41.0922;0
36.31275;0
34.08645;0
32.4253;0
37.38045;0
41.55975;0
43.4548;0
58.1095;0
62.8644;0
45.7033;0
38.65565;0
36.34005;0
34.31945;0
35.885;0
37.068;0
37.934;0
38.09;0
39.5633;0
50.1371;0
57.5843;0
46.3432;0
40.56845;0
35.72715;0
35.00245;0
38.3682;0
31.25875;0
31.44045;0
31.5193;0
38.15945;0
43.37375;0
45.9068;0
60.5855;0
65.3834;0
51.6403;0
42.72465;0
39.31505;0
36.93845;0
38.202;0
38.642;0
38.595;0
38.478;0
39.8963;0
49.9241;0
56.9923;0
45.3442;0
39.23745;0
36.82115;0
40.83445;0
45.5382;0
38.96375;0
37.84545;0
36.9953;0
42.35945;0
45.51975;0
47.0798;0
61.5225;0
66.1024;0
52.1283;0
42.91365;0
39.68405;0
37.47945;0
38.615;0
39.083;0
39.304;0
39.513;0
41.2993;0
51.2091;0
57.8303;0
44.6212;0
39.20145;0
37.60815;0
39.96145;0
43.2892;0
38.25775;0
35.84045;0
35.1363;0
37.43845;0
41.73175;0
46.2228;0
59.7275;0
64.9574;0
53.5033;0
44.71665;0
41.69605;0
39.74145;0
41.089;0
41.162;0
40.88;0
40.522;0
41.5313;0
50.3761;0
56.1883;0
42.6372;0
39.29245;0
34.60415;0
34.71345;0
39.2882;0
37.19475;0
34.47545;0
32.8163;0
33.54745;0
36.26175;0
38.9028;0
51.8875;0
55.5484;0
38.4373;0
29.44265;0
25.59005;0
23.06445;0
24.834;0
26.179;0
26.604;0
26.747;0
28.7583;0
38.5861;0
44.9563;0
33.7422;0
31.17445;0
25.97715;0
27.64645;0
30.5372;0
23.65475;0
18.26645;0
14.0253;0
19.29345;0
29.17675;0
34.1818;0
50.0325;0
54.4144;0
38.9413;0
32.42665;0
28.65005;0
26.88045;0
28.629;0
29.679;0
30.16;0
30.381;0
32.1403;0
42.2741;0
49.4383;0
37.9462;0
31.88145;0
26.97215;0
23.94445;0
26.4132;0
19.83075;0
14.84445;0
17.4923;0
26.65145;0
31.71675;0
33.9138;0
48.7845;0
53.7684;0
40.1073;0
30.92965;0
27.71505;0
25.56645;0
26.444;0
26.862;0
27.402;0
27.901;0
29.0193;0
37.2081;0
41.8093;0
28.5722;0
25.02445;0
20.82515;0
24.31545;0
28.0792;0
21.10775;0
18.86345;0
17.2693;0
22.74145;0
27.19375;0
29.2048;0
43.9835;0
49.3134;0
33.4363;0
25.16865;0
22.04005;0
19.21045;0
19.044;0
18.592;0
18.337;0
18.995;0
21.7453;0
32.2871;0
39.7613;0
28.4942;0
22.61045;0
20.41515;0
