Koudelevering TOTAAL [kW];Warmtelevering TOTAAL [kW]
0;118,982823
0;157,323796
0;183,833881
0;213,811195
0;234,482476
0;100,936023
0;113,718851
0;107,024484
0;86,847359
0;681,63769
0,00535;500,22025
0,005459;406,466156
0,005678;314,777437
0,005459;91,306671
0,005241;65,956562
0,005241;24,844097
0,005241;12,117424
0,005023;64,854613
0,005241;15,182667
0,005023;15,513545
0,005241;23,943808
0,004804;70,448289
0,005241;224,889312
0,004804;344,910812
0,003931;6,796178
0,003712;39,520785
0,004149;53,583886
0,003931;45,127601
0,003931;48,239371
0;0,482597
0;1,014076
0;2,356756
0;3,468932
0,005241;554,187687
0,004804;474,142531
0,004804;412,486687
0,004804;305,862156
0,004804;92,937703
0,005241;74,825929
0,005023;33,194898
0,005241;20,029152
0,004804;99,317421
0,005023;24,745068
0,005241;15,680804
0,005241;22,628445
0,005241;62,611691
0,005023;214,846
0,005023;316,067812
0,004367;2,892118
0,004149;0,807047
0,004367;8,659407
0,004149;18,108777
0,004258;27,186962
0;1,08427
0;3,291557
0;4,951826
0;7,0007
0;17,224826
0;12,623062
0;23,068511
0;51,957726
0;30,20207
0;6,140814
0;9,652617
0;4,404341
0;4,988354
0;4,548404
0;0
0;3,58483
0;9,059837
0;19,502933
0;26,013968
0;32,154267
0;16,059152
0;26,046654
0;22,142507
0;43,801308
0;27,262498
0;39,641863
0;42,663656
0;35,989078
0;36,471359
0;45,118253
0;36,668718
0;36,492359
0;37,983625
0;31,987328
0;20,676833
0;5,18566
0;16,612005
0;18,36416
0;20,509656
0;26,390316
0;33,103492
0;36,160691
0;37,3585
0;62,949203
0;95,991468
0;44,925582
0;59,309667
0;49,667968
0;51,956015
0;71,832742
0;75,1705
0;80,009226
0,005132;654,743062
0,005241;540,582937
0,005132;524,411437
0,005459;437,407031
0,005241;232,101796
0,005459;126,898703
0,005241;33,919714
0,005241;13,04138
0,004804;54,760179
0,005023;22,51841
0,005241;26,540585
0,005023;23,137191
0,005241;58,310265
0,005023;204,314125
0,005023;321,361531
0,004149;5,480804
0;6,961292
0,004149;20,304517
0,003931;36,84139
0,004149;50,41116
0;4,95195
0;6,380426
0;8,135114
0;9,874182
0,004804;575,637812
0,005023;476,193375
0,004804;396,308187
0,004804;369,91875
0,005241;138,441406
0,005241;66,086492
0,005241;35,492976
0,005023;27,521187
0,005241;62,12182
0,005241;1,59669
0,005023;6,55698
0,005241;20,513261
0,005023;58,557503
0,004804;201,577093
0,005023;348,550406
0,003931;11,566495
0;27,625831
0;69,369862
0;104,113425
0;108,636526
0;42,850484
0;39,700546
0;32,320375
0;33,835273
0,005241;559,547875
0,005459;450,474625
0,005459;379,247875
0;289,917181
0,005678;140,326156
0,005241;46,047351
0,005678;17,486369
0,006115;10,159611
0,005459;16,815814
0,005896;0,507563
0,006115;11,236994
0,005678;17,944859
0,005896;47,818234
0;187,420725
0;317,127567
0;85,904617
0;110,256605
0;153,613444
0;165,857054
0;163,306882
0;31,502984
0;13,257984
0;62,978894
0;59,436718
0;681,577046
0;519,269637
0;507,878798
0;423,469708
0;212,994875
0;78,640598
0;107,299146
0,005896;43,090765
0;140,37645
0,005678;50,792714
0,005678;2,289266
0,005896;25,464558
0,005896;101,806031
0;225,112585
0;381,275458
0;114,838253
0;156,491742
0;172,770765
0;199,293335
0;213,05396
0;89,764242
0;93,581601
0;109,758203
0;131,577718
0;753,32264
0;646,444034
0;590,169729
0;481,592409
0;265,01046
0;204,148839
0;100,352302
0;47,844304
0;113,551856
0,005678;43,694308
0,005678;46,361312
0,005678;50,7578
0;119,883553
0;310,591523
0;408,907054
0;119,719081
0;144,000624
0;212,41603
0;238,249249
0;296,380984
0;120,043171
0;136,314562
0;147,236203
0;148,363921
0;147,452546
0;176,590593
0;172,252359
0;182,0275
0;188,543218
0;172,824656
0;139,229203
0;53,169968
0;74,596546
0;61,413781
0;49,262726
0;123,17364
0;119,778515
0;110,927546
0;116,736992
0;142,737187
0;144,399109
0;146,916968
0;167,276328
0;128,678976
0;101,100609
0;81,856531
0;101,153937
0;128,713671
0;85,447453
0;105,554546
0;107,33925
0;131,982656
0;132,601218
0;124,44021
0;61,539515
0;64,751171
0;56,151343
0;24,646605
0;17,776246
0;29,081816
0;103,127734
0;79,023062
0;124,760523
0;165,234625
0;145,91625
0;164,034437
0;176,331687
0;148,021843
0;150,619093
0;207,847203
0;202,458062
0;210,035812
0;833,523523
0;658,519628
0;645,163581
0;530,147864
0;345,01569
0;282,105132
0;227,670171
0;180,796806
0;273,893593
0,005678;195,056984
0,005459;135,879875
0,005459;149,437921
0,005459;208,124625
0,005459;367,145343
0,005241;479,626625
0;56,457191
0;118,833843
0;154,812585
0;188,952597
0;209,211538
0;109,846156
0;140,439656
0;157,303156
0;161,67939
0;783,838604
0;668,94765
0;564,357539
0;522,9448
0;307,59523
0;247,603229
0;156,323442
0;178,307771
0;256,605687
0;129,363419
0;118,924462
0;140,124686
0;200,764007
0;379,216488
0;506,759348
0;117,753386
0;171,629319
0;206,731874
0;250,459562
0;279,003288
0;125,775281
0;121,307085
0;121,083203
0;144,51964
0;751,741106
0;622,510144
0;585,92322
0;457,559833
0;182,43817
0;106,040837
0;41,178087
0,005896;23,256488
0,005459;62,157261
0,005678;60,480593
0,005896;21,8913
0,005678;35,32339
0,005678;85,732617
0;277,31817
0;388,316148
0;122,292343
0;139,978858
0;158,847881
0;191,600366
0;129,791546
0;72,95357
0;98,88775
0;112,279312
0;115,573781
0,005459;707,717375
0,005459;595,4385
0,00535;518,237093
0,005241;405,463812
0,005241;199,626562
0,005678;171,02639
0,005241;103,79125
0,005241;61,577261
0,004804;161,32414
0,005241;80,269835
0,005241;60,295214
0,005241;64,979964
0,005241;110,518031
0,005023;263,743812
0,005023;379,538031
0;34,755126
0;64,847044
0;84,777585
0;106,47356
0;111,942284
0;56,708097
0;53,241382
0;62,999226
0;68,71725
0,005023;654,08775
0,004804;531,03
0,004804;460,685468
0,005023;350,994218
0,005241;162,067453
0,005241;136,281531
0,005023;82,048484
0,005241;59,870093
0,005023;130,336609
0,005023;31,680607
0,005241;58,798773
0,005023;59,399519
0,005023;101,137882
0,005023;258,156734
0,005023;372,221781
0;61,140635
0;90,643487
0;105,813734
0;121,452089
0;136,224499
0;59,59075
0;65,187574
0;67,320656
0;73,757554
0;82,745023
0;95,277179
0;104,72125
0;110,842828
0;112,328789
0;86,145015
0;63,913839
0;63,983718
0;57,114851
0;55,428332
0;65,035847
0;66,880468
0;82,067148
0;93,292664
0;99,239515
0;102,78246
0;103,944179
0;113,086445
0;108,34382
0;110,529015
0;112,789703
0;114,94607
0;116,03382
0;126,32732
0;129,440937
0;109,285882
0;125,215773
0;126,325507
0;86,140437
0;76,599781
0;29,999238
0;22,423208
0;43,386035
0;25,865294
0;15,082378
0;11,607137
0;22,488861
0;38,103773
0;45,773847
0;49,669914
0;51,277695
0;52,246382
0;55,963042
0;59,448832
0;63,421781
0;67,134062
0;88,986039
0;109,84121
0,004804;688,33475
0,005241;564,779687
0,005023;482,238375
0,005023;369,638218
0,005241;161,724015
0,005459;122,92421
0,005023;77,455343
0,005241;95,525554
0,005241;217,823921
0,005241;133,657218
0,005678;96,774679
0,005678;98,883273
0,005678;172,726421
0,005241;340,936531
0,005241;452,794406
0;76,555995
0;113,762026
0;148,506682
0;120,698675
0;187,158514
0;116,049195
0;90,739
0;127,15414
0;132,997906
0,005132;695,7665
0,005459;629,508062
0;574,878885
0;443,113631
0,005459;225,365671
0,005459;118,544921
0,005459;52,843746
0,005132;30,9058
0,005241;152,094984
0,005241;72,636882
0,005023;32,516212
0,005023;20,634695
0,005241;82,800195
0,005023;276,944562
0,005241;406,363625
0;58,774587
0;80,671011
0;115,977351
0;115,498116
0;84,979747
0;28,773804
0;31,75889
0;39,90896
0;62,637226
0,00535;660,94725
0,005678;557,919
0;482,721421
0;409,061998
0;217,319059
0;180,100321
0;162,017765
0;134,635327
0;250,969638
0;57,716369
0;58,854816
0;83,266526
0;172,288198
0;347,029226
0;437,785729
0;129,625792
0;187,346061
0;213,582249
0;257,568413
0;269,725663
0;97,125796
0;92,795671
0;125,886695
0;138,138046
0;754,696937
0;683,141664
0;598,352812
0;495,843011
0;291,758394
0;229,010109
0;110,824175
0;68,147543
0;119,633952
0;60,216098
0;52,755505
0;84,930096
0;133,269025
0;331,464757
0;452,914237
0;147,722206
0;174,562397
0;190,041483
0;155,444257
0;214,475475
0;65,622562
0;72,879617
0;84,900656
0;125,146578
0;734,278984
0;622,344699
0;590,403749
0;421,391851
0;245,413046
0;236,545566
0;144,452827
0;127,684242
0;218,083319
0;128,969718
0;49,670903
0,005678;34,385621
0;113,472299
0;346,373642
0;489,404999
0;143,549034
0;175,038991
0;206,971288
0;235,372914
0;241,525179
0;104,684679
0;124,43239
0;135,845718
0;147,442484
0;157,6995
0;194,831359
0;179,08889
0;156,585218
0;152,977515
0;128,917101
0;87,852359
0;91,008343
0;68,434453
0;53,8613
0;12,503308
0;39,780359
0;72,555914
0;150,398828
0;185,398937
0;212,63064
0;209,219125
0;208,786734
0;226,883859
0;238,848703
0;245,497015
0;228,160875
0;251,998656
0;234,21664
0;226,575078
0;225,472125
0;247,761218
0;196,472328
0;214,056187
0;129,018968
0;85,12232
0;66,813867
0;71,077195
0;75,516046
0;70,396734
0;83,693343
