KOLOM;RIJ;ID;X;Y;Z;;ID_RVT;NOTA_RVT
1;1;001-001;4,05;1;-1;;11096791;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;2;001-002;4,05;7;-1;;11096783;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;3;001-003;4,05;13;-1;;11096775;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;4;001-004;4,05;19;-1;;11096767;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;5;001-005;4,05;25;-2,5;;11096759;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;6;001-006;4,05;31;-2,5;;11096751;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;7;001-007;4,05;37;-1;;11096743;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;8;001-008;4,05;43;-1;;11096735;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;9;001-009;4,05;49;-1;;11096727;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;10;001-010;4,05;55;-1;;11096719;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;11;001-011;4,05;61;-1;;11096711;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;12;001-012;4,05;67;-1;;11096703;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;13;001-013;4,05;73;-1;;11096695;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;14;001-014;4,05;79;-1;;11096687;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
1;15;001-015;4,05;85;-1;;11096679;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 1
1;16;001-016;4,05;91;-1;;11096671;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 1
1;17;001-017;4,05;97;-1;;11096663;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 1
1;18;001-018;4,05;103;-1;;11096655;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 1
1;19;001-019;4,05;109;-1;;11096647;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 1
1;20;001-020;4,05;115;-1;;11096639;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 1
1;21;001-021;4,05;121;-1;;11096590;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 1
2;1;002-001;12,15;1;-1;;11096823;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;2;002-002;12,15;7;-1;;11096822;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;3;002-003;12,15;13;-1;;11096821;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;4;002-004;12,15;19;-1;;11096820;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;5;002-005;12,15;25;-2,5;;11096819;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;6;002-006;12,15;31;-2,5;;11096818;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;7;002-007;12,15;37;-1;;11096817;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;8;002-008;12,15;43;-1;;11096816;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;9;002-009;12,15;49;-1;;11096815;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;10;002-010;12,15;55;-1;;11096814;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;11;002-011;12,15;61;-1;;11096813;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;12;002-012;12,15;67;-1;;11096812;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;13;002-013;12,15;73;-1;;11096811;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;14;002-014;12,15;79;-1;;11096810;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 1
2;15;002-015;12,15;85;-1;;11096809;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 1
