Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
3,24459;14,75564;85,57
3,68207;11,96423;54,09
4,96465;9,14257;45,16
6,08773;5,4391;40,70
3,24457;4,90653;36,23
9,17006;1,90388;40,70
13,14201;2,20971;40,70
13,63657;3,71569;40,70
9,13897;12,26193;40,70
1,32693;12,58262;139,36
0,35575;28,80328;76,64
0,29655;0,26415;40,70
0,41626;0,59839;49,63
0,74962;1,41047;20,98
0,85544;7,25578;4,01
0,96743;13,37419;2,68
1,00924;8,07275;2,68
1,10913;10,33058;2,68
1,15461;13,2637;7,14
1,34227;16,64345;11,60
1,39469;78,53851;17,41
1,53285;75,68413;94,50
1,71378;58,16951;90,03
2,98345;47,72765;85,57
6,16895;19,98052;85,57
6,11035;13,93618;54,09
7,30056;10,62934;45,16
6,79829;9,2682;40,70
3,56406;7,26491;36,23
5,64921;3,36889;40,70
15,09027;2,34356;40,70
16,99693;3,71664;40,70
7,53868;13,10025;40,70
3,55491;17,35375;139,36
1,80586;32,10999;76,64
1,8957;8,02385;40,70
1,9135;4,84405;49,63
2,05614;4,49567;20,98
2,21393;7,09651;4,01
2,06165;23,95696;2,68
1,9557;11,48746;2,68
1,93418;9,19799;2,68
2,10486;10,95038;7,14
2,27377;21,68261;11,60
2,32436;42,71702;17,41
2,6367;46,963;94,50
2,61521;43,83308;90,03
2,62939;40,01803;85,57
2,43471;29,58883;85,57
2,26888;15,23106;54,09
2,77789;9,74493;45,16
1,30815;1,42778;40,70
1,10368;1,80072;36,23
1,6852;1,14413;40,70
1,62569;1,83761;40,70
1,91175;1,57271;40,70
1,82217;7,98199;40,70
1,67519;2,55865;139,36
1,51057;4,40157;76,64
1,45392;4,60859;40,70
1,43039;6,4656;49,63
1,26097;8,00904;20,98
1,1655;11,80839;4,01
1,02391;20,0491;2,68
1,05744;5,83126;2,68
1,12125;11,52179;2,68
1,24235;22,12131;7,14
1,17082;7,78204;11,60
1,1896;25,0383;17,41
1,33021;26,02028;94,50
1,2883;22,3394;90,03
1,31681;17,48233;85,57
1,29866;11,1678;85,57
2,06299;0,96564;54,09
7,37286;1,81416;45,16
5,37434;0,64521;40,70
20,32749;1,33202;36,23
12,80858;0,68172;40,70
14,33554;0,60312;40,70
13,6115;2,60332;40,70
52,53953;2,02651;40,70
26,61086;2,32887;139,36
20,20685;3,58536;76,64
1,03385;4,33902;40,70
1,2096;8,16278;49,63
1,46508;15,60673;20,98
1,5179;16,59538;4,01
1,69199;27,64421;2,68
1,80264;21,01578;2,68
1,81579;13,90815;2,68
1,86946;15,76548;7,14
1,88473;21,20894;11,60
2,01529;103,1147;17,41
2,24635;92,18821;94,50
2,14829;70,33291;90,03
3,88782;64,65335;85,57
7,53872;22,52294;85,57
14,49891;12,94468;54,09
22,03487;10,13421;45,16
35,05019;6,57149;40,70
39,56988;7,09414;36,23
25,9132;6,77047;40,70
15,39896;10,37745;40,70
14,98532;11,89641;40,70
11,35562;19,78575;40,70
26,24197;16,6789;139,36
2,52005;32,8078;76,64
1,7544;3,01353;40,70
2,10106;2,56251;49,63
2,08055;4,28043;20,98
2,5832;17,77333;4,01
2,50882;24,21254;2,68
2,39849;22,07337;2,68
2,48286;24,13287;2,68
2,52884;27,87501;7,14
2,53377;29,74427;11,60
2,69228;93,09288;17,41
2,75798;87,95106;94,50
2,59144;62,12674;90,03
4,31086;44,3076;85,57
8,3683;18,95435;85,57
8,5254;17,24361;54,09
9,63099;12,4965;45,16
9,78588;7,61552;40,70
29,85881;3,11005;36,23
22,22654;0,83947;40,70
70,37624;0,6572;40,70
88,52414;2,03308;40,70
88,93929;9,86386;40,70
28,58329;8,41408;139,36
2,7959;28,88941;76,64
2,53334;7,11893;40,70
2,30221;9,59913;49,63
2,65337;9,71496;20,98
2,95783;18,12402;4,01
3,28086;29,41035;2,68
3,31814;29,51644;2,68
3,25988;32,65604;2,68
3,26131;32,13852;7,14
3,21478;34,56951;11,60
3,17068;96,81337;17,41
3,14419;80,73331;94,50
3,11583;68,17961;90,03
4,83198;49,96738;85,57
9,21278;8,25832;85,57
9,70229;8,42722;54,09
11,60144;2,22175;45,16
13,65224;1,50471;40,70
6,94776;3,22581;36,23
9,9879;2,09268;40,70
13,18902;0,78967;40,70
13,16774;1,09889;40,70
10,86315;5,92892;40,70
5,98174;8,95445;139,36
3,87909;22,52069;76,64
3,46166;0,61272;40,70
3,3955;1,8509;49,63
3,83193;2,53919;20,98
3,79281;8,89746;4,01
3,67251;6,72717;2,68
3,34168;5,15949;2,68
3,40067;6,06221;2,68
3,52266;7,09656;7,14
3,53977;8,36112;11,60
3,50254;59,21542;17,41
3,46706;55,16305;94,50
3,43361;38,35232;90,03
5,35922;28,46536;85,57
9,78537;7,76037;85,57
10,30105;4,0849;54,09
11,99063;2,9826;45,16
12,31246;2,38349;40,70
9,16519;1,37072;36,23
11,76461;0,694;40,70
13,31169;0,45632;40,70
13,47573;0,77268;40,70
11,40947;6,25229;40,70
6,29734;6,87783;139,36
11,23447;17,43838;76,64
3,42139;6,5676;40,70
3,37253;17,1912;49,63
3,44918;7,28932;20,98
3,34742;13,27167;4,01
3,15788;17,46748;2,68
3,43131;7,86353;2,68
3,54934;13,63284;2,68
3,40323;7,59401;7,14
3,14809;8,0275;11,60
2,5851;61,47301;17,41
2,29428;58,32242;94,50
2,64739;39,99905;90,03
4,47902;40,90772;85,57
9,1383;6,38045;85,57
13,37335;2,96966;54,09
37,50779;1,8943;45,16
14,96283;0,85831;40,70
9,35835;2,03185;36,23
13,14842;0,13409;40,70
36,96601;0,20474;40,70
82,46334;0,32813;40,70
120,96703;1,88434;40,70
97,62368;3,4773;139,36
31,87406;13,99994;76,64
3,60267;0,06083;40,70
3,47982;0,03767;49,63
3,8488;0,9522;20,98
3,95174;1,55564;4,01
3,69146;4,10531;2,68
3,61242;2,24326;2,68
3,54485;2,93891;2,68
3,90417;3,77917;7,14
4,05561;4,75177;11,60
4,08454;13,35632;17,41
4,05119;14,58561;94,50
4,0194;11,22757;90,03
4,03789;7,06311;85,57
4,25136;2,08098;85,57
3,64738;0,26415;54,09
3,16516;1,39063;45,16
3,62188;0,21761;40,70
20,89404;0,06902;36,23
32,89592;0,09616;40,70
29,9458;0,25918;40,70
9,59554;0,26973;40,70
14,63286;0,29101;40,70
32,51124;0,1514;139,36
4,6555;0,0164;76,64
4,53518;0,14517;40,70
4,40813;12,07509;49,63
4,09179;11,2596;20,98
3,87345;13,67211;4,01
4,0709;20,48873;2,68
4,01095;14,26314;2,68
3,94329;25,5747;2,68
3,88211;27,03333;7,14
3,82452;31,26039;11,60
3,77409;40,13166;17,41
3,71148;51,54294;94,50
3,65759;46,16043;90,03
3,72362;34,81288;85,57
3,95737;9,61771;85,57
4,81041;1,51547;54,09
3,92944;3,26266;45,16
4,09884;0,64511;40,70
4,01451;0,79499;36,23
22,38665;0,69828;40,70
47,44047;1,11547;40,70
59,99155;2,74846;40,70
2,49022;4,91186;40,70
39,04822;2,31131;139,36
10,1099;4,45547;76,64
2,51149;10,43005;40,70
2,77015;12,58349;49,63
3,11575;12,76361;20,98
3,19072;15,54996;4,01
3,12269;25,90262;2,68
2,9485;25,26403;2,68
2,78351;24,17616;2,68
2,52049;28,65742;7,14
2,21962;26,29702;11,60
2,17667;95,74303;17,41
2,03617;92,60544;94,50
1,81573;74,8842;90,03
3,33013;62,91877;85,57
7,23693;33,06236;85,57
7,28283;22,21879;54,09
8,48938;18,34015;45,16
9,56551;13,2295;40,70
6,95365;11,63132;36,23
11,79165;8,64451;40,70
9,40485;11,79914;40,70
16,07114;9,34719;40,70
12,42752;18,52196;40,70
3,47491;20,79541;139,36
1,41805;36,09118;76,64
1,63554;3,24376;40,70
1,64393;5,03761;49,63
2,02037;6,44077;20,98
1,8874;8,64097;4,01
2,15218;10,32857;2,68
2,17628;16,30833;2,68
2,11309;15,12628;2,68
2,05387;22,06853;7,14
2,28902;19,59132;11,60
2,38849;90,3178;17,41
2,49846;76,31241;94,50
2,36891;59,38527;90,03
4,16222;48,81002;85,57
7,8682;17,1494;85,57
7,93269;12,21382;54,09
8,62406;13,03819;45,16
12,33589;6,25998;40,70
28,87215;1,67268;36,23
56,56898;0,4685;40,70
108,5734;0,5931;40,70
125,0202;2,06719;40,70
55,50865;6,62364;40,70
60,18589;6,82389;139,36
9,10168;24,76804;76,64
3,79852;0,20825;40,70
0,61196;0,92743;49,63
0,7719;2,65546;20,98
0,93833;6,10258;4,01
1,2512;12,4583;2,68
1,51372;5,88817;2,68
1,4804;7,12582;2,68
1,85572;12,20494;7,14
2,23722;13,26614;11,60
2,54364;74,50699;17,41
3,02065;66,08556;94,50
3,16481;49,93918;90,03
5,36253;23,34822;85,57
9,78568;4,54755;85,57
57,48759;3,96767;54,09
70,07093;7,3256;45,16
62,81504;2,93285;40,70
63,99017;1,7734;36,23
85,69506;0,26466;40,70
168,97748;0,87175;40,70
194,43371;1,95077;40,70
190,20655;3,58227;40,70
159,62945;4,13526;139,36
106,40371;16,66647;76,64
25,19213;0,19485;40,70
0,7287;0,18976;49,63
1,16774;2,00723;20,98
1,34578;5,9784;4,01
1,43442;11,26611;2,68
1,52961;4,92482;2,68
1,75885;4,05903;2,68
1,96825;5,11039;7,14
2,30886;6,6126;11,60
2,82999;58,18183;17,41
3,20566;62,08163;94,50
3,04175;42,47162;90,03
5,09657;26,46378;85,57
10,95877;3,54701;85,57
43,3505;5,27343;54,09
62,46438;4,68197;45,16
83,69119;1,22701;40,70
98,17267;0,46306;36,23
139,72598;0,25322;40,70
188,52311;0,57167;40,70
190,79336;1,1067;40,70
198,68014;1,24678;40,70
175,04341;1,50379;139,36
126,70689;14,13723;76,64
69,58426;0,18729;40,70
3,59016;0,18248;49,63
1,11417;1,71882;20,98
1,73107;3,93807;4,01
1,85597;8,13316;2,68
2,52265;4,98098;2,68
2,48028;6,85666;2,68
1,99671;7,22883;7,14
1,7869;6,85561;11,60
2,48983;65,3462;17,41
2,99955;63,34843;94,50
3,24338;43,46871;90,03
4,64237;32,87638;85,57
8,80232;14,13045;85,57
9,42604;5,22241;54,09
11,91818;3,96819;45,16
15,1154;2,69911;40,70
11,9348;2,00992;36,23
25,00084;0,18287;40,70
30,85212;0,41169;40,70
29,23725;2,07167;40,70
20,20336;7,69216;40,70
62,36917;6,21599;139,36
21,05363;19,32635;76,64
4,15342;0,40093;40,70
4,16503;6,62077;49,63
4,62809;11,28025;20,98
4,71626;17,52173;4,01
4,6036;28,50447;2,68
4,50881;25,67608;2,68
4,43168;24,23247;2,68
4,3635;27,32888;7,14
4,29744;31,77132;11,60
4,24913;39,89047;17,41
4,19853;49,54417;94,50
4,15329;45,5461;90,03
4,21181;40,02737;85,57
4,47683;15,97908;85,57
15,75676;4,52116;54,09
41,7111;3,25278;45,16
39,18999;0,58176;40,70
42,53776;0,14688;36,23
41,95386;0,17653;40,70
84,37602;0,90277;40,70
96,5593;2,68077;40,70
101,77478;2,47009;40,70
95,61477;1,06355;139,36
73,19291;0,95381;76,64
5,54045;1,86183;40,70
1,46885;5,47761;49,63
2,05058;10,27332;20,98
2,49397;14,8442;4,01
2,86961;23,20338;2,68
2,96519;16,45644;2,68
2,91404;19,23936;2,68
3,01733;22,41909;7,14
3,33947;26,40348;11,60
3,6716;40,46758;17,41
3,80057;44,25901;94,50
3,77488;43,88803;90,03
3,74098;28,7462;85,57
3,37127;6,94683;85,57
5,46493;2,63384;54,09
19,36649;2,96743;45,16
13,69742;0,94295;40,70
22,51314;0,64538;36,23
7,33131;0,49905;40,70
15,0451;0,47245;40,70
26,25399;2,03905;40,70
25,79988;2,17713;40,70
17,87626;1,0417;139,36
8,79265;1,33922;76,64
0,67521;4,4938;40,70
1,32843;9,09163;49,63
1,70637;12,10168;20,98
2,2589;6,63408;4,01
2,95357;18,58097;2,68
3,53695;10,59271;2,68
3,76585;19,0753;2,68
3,73516;24,42762;7,14
3,69268;33,58718;11,60
3,64792;106,43908;17,41
3,59906;106,78834;94,50
3,5569;91,93471;90,03
5,53348;72,87859;85,57
9,91191;39,29839;85,57
10,2765;31,57281;54,09
11,81612;21,31306;45,16
11,60971;14,07086;40,70
9,19001;3,86097;36,23
16,54232;2,48459;40,70
32,12713;1,68635;40,70
40,56032;2,1254;40,70
15,71241;12,31825;40,70
12,23404;8,86704;139,36
8,38348;24,70004;76,64
5,61635;0,04666;40,70
4,45906;1,12188;49,63
4,63917;3,85053;20,98
4,50486;6,77856;4,01
4,41019;7,77449;2,68
4,29747;24,96287;2,68
4,17048;46,7811;2,68
4,05425;54,57516;7,14
3,95473;60,24587;11,60
3,86933;128,60166;17,41
3,78514;139,61741;94,50
3,73226;114,74929;90,03
5,82572;77,18711;85,57
10,46483;25,21147;85,57
37,05647;11,90368;54,09
55,14563;6,52203;45,16
48,90294;3,29235;40,70
46,27237;3,731;36,23
47,88658;0,64402;40,70
94,35292;0,88058;40,70
110,74021;4,31865;40,70
113,09742;9,39283;40,70
79,9984;8,53133;139,36
39,77014;22,70656;76,64
3,52233;0,8145;40,70
4,11831;9,32712;49,63
4,56636;17,0271;20,98
4,42348;22,01685;4,01
4,31682;24,99839;2,68
4,20488;38,68013;2,68
4,10103;43,66649;2,68
4,01926;42,22027;7,14
3,94026;47,82372;11,60
3,86854;111,33833;17,41
3,81021;103,52828;94,50
3,76859;86,82049;90,03
5,82738;56,08683;85,57
10,53192;21,3992;85,57
10,85131;16,06135;54,09
11,73789;14,99472;45,16
11,82646;10,95905;40,70
9,31736;4,94341;36,23
11,33959;6,39551;40,70
13,27072;3,25868;40,70
13,46335;3,94603;40,70
62,49081;4,41624;40,70
46,67434;4,79331;139,36
7,28112;20,37914;76,64
5,26469;6,2567;40,70
4,79957;25,83778;49,63
4,54493;34,8925;20,98
4,37039;46,22162;4,01
4,22792;59,10018;2,68
4,10631;54,08059;2,68
4,00962;48,68235;2,68
3,93698;39,35411;7,14
3,86224;50,01475;11,60
3,78867;116,88975;17,41
3,71579;118,09495;94,50
3,65331;114,9445;90,03
5,76856;55,48169;85,57
11,19255;13,70245;85,57
16,98745;4,5764;54,09
14,98297;7,58573;45,16
39,18099;2,88914;40,70
29,71807;0,43151;36,23
13,14996;2,97543;40,70
52,70298;0,14012;40,70
60,40143;0,36652;40,70
55,55507;4,5988;40,70
38,22106;7,08453;139,36
6,18896;20,35552;76,64
4,54473;1,88502;40,70
4,79033;15,0079;49,63
4,52753;23,41905;20,98
4,35456;32,06491;4,01
4,20658;49,75151;2,68
4,8771;39,88871;2,68
4,82975;35,84141;2,68
4,79014;28,48008;7,14
4,75664;24,89158;11,60
4,73975;65,21315;17,41
4,70981;68,62763;94,50
4,70128;36,16221;90,03
6,73815;23,76009;85,57
11,52757;4,18301;85,57
11,67733;2,21031;54,09
12,97058;1,93637;45,16
13,23809;1,33391;40,70
9,67327;0,61664;36,23
12,36712;0,22699;40,70
14,57072;3,91047;40,70
14,53027;2,57257;40,70
13,42013;7,424;40,70
8,55628;9,10984;139,36
6,1788;40,54936;76,64
5,71444;4,76466;40,70
5,42924;38,5391;49,63
5,22222;51,6763;20,98
5,08626;48,18119;4,01
4,9777;53,29307;2,68
4,89117;42,01655;2,68
4,80912;48,29117;2,68
4,75682;30,38204;7,14
4,6936;46,58863;11,60
4,60296;86,84052;17,41
4,54449;64,80616;94,50
4,50823;67,3136;90,03
4,63879;27,88582;85,57
5,07799;1,93003;85,57
25,64074;0,18283;54,09
13,36006;5,14827;45,16
13,77334;0,08886;40,70
8,63902;0;36,23
17,8271;0;40,70
59,89921;0,14569;40,70
26,63496;0,23107;40,70
10,34037;0,17451;40,70
6,51212;0,06293;139,36
5,99958;0;76,64
5,64806;4,45831;40,70
5,28575;13,37145;49,63
5,08284;28,2278;20,98
4,93203;45,24969;4,01
4,81215;53,61356;2,68
4,71299;46,17016;2,68
4,63056;46,74096;2,68
4,55778;49,66757;7,14
4,4901;53,04891;11,60
4,42511;72,90498;17,41
4,3591;78,59092;94,50
4,31519;67,73924;90,03
4,33412;66,52471;85,57
4,46614;49,00734;85,57
4,6722;35,59216;54,09
4,93743;16,46425;45,16
5,1825;4,79303;40,70
5,30114;3,05172;36,23
4,91894;2,60792;40,70
5,37522;0,19935;40,70
5,37623;4,96701;40,70
4,91537;5,18077;40,70
4,68653;9,96183;139,36
4,32574;18,44975;76,64
4,08743;23,69592;40,70
4,01959;27,8867;49,63
4,11615;26,47911;20,98
4,14897;23,57389;4,01
4,19094;35,49581;2,68
4,24061;30,8822;2,68
4,23821;33,33261;2,68
4,1974;21,66046;7,14
4,15798;23,72693;11,60
4,11986;88,87173;17,41
4,08075;81,99016;94,50
4,03349;77,87825;90,03
6,02206;74,02935;85,57
10,55495;42,04341;85,57
10,98462;36,00863;54,09
12,59424;26,83951;45,16
12,98788;19,34381;40,70
9,0853;17,71792;36,23
11,17004;10,0476;40,70
12,30262;7,82405;40,70
11,94663;8,44913;40,70
10,34394;16,26583;40,70
4,66942;26,65307;139,36
2,42252;43,96248;76,64
1,93781;12,03213;40,70
1,81687;20,5998;49,63
1,82046;24,95042;20,98
1,94212;27,70229;4,01
2,08868;30,52208;2,68
2,38429;18,43345;2,68
2,72814;13,53921;2,68
3,11279;15,77015;7,14
3,39024;23,31484;11,60
3,57421;77,61338;17,41
3,64848;79,42677;94,50
3,78903;60,03383;90,03
5,51168;45,36104;85,57
9,8091;17,1074;85,57
9,57862;9,17259;54,09
10,86753;8,32103;45,16
30,15941;2,77627;40,70
38,83854;2,04208;36,23
53,85207;0,43324;40,70
119,21811;0,35149;40,70
144,53525;1,5852;40,70
153,93941;4,89684;40,70
160,28966;5,18318;139,36
132,90986;18,44353;76,64
79,92083;0,15106;40,70
27,43884;0,14553;49,63
0,69881;0,2767;20,98
0,95891;3,57595;4,01
1,43312;9,772;2,68
1,52848;3,84883;2,68
1,63554;3,45445;2,68
1,75266;4,6891;7,14
1,98873;8,72498;11,60
2,70596;60,12036;17,41
2,61634;57,06983;94,50
2,43919;47,15947;90,03
3,47796;23,3961;85,57
22,50595;6,56626;85,57
106,32306;2,51336;54,09
173,45269;2,43286;45,16
189,53558;0,8956;40,70
199,93521;0,3155;36,23
263,6669;0,22203;40,70
352,12533;0,34756;40,70
368,55069;0,43265;40,70
389,91233;0,45473;40,70
368,01616;0,40362;139,36
303,75252;9,94547;76,64
199,92433;0,14365;40,70
155,83097;0,13713;49,63
103,30836;12,25612;20,98
36,99777;0,4014;4,01
6,12481;3,0438;2,68
0,78914;0,63693;2,68
0,77435;0,5328;2,68
1,33686;1,5829;7,14
1,32652;2,26595;11,60
1,3118;58,13375;17,41
1,39043;56,57479;94,50
1,42497;37,41883;90,03
2,21995;16,65693;85,57
33,85441;2,13297;85,57
142,6232;1,05458;54,09
256,60691;1,67428;45,16
316,20055;0,3472;40,70
310,03793;0,17965;36,23
368,66284;0,18664;40,70
407,15442;0,28482;40,70
440,00191;0,37346;40,70
425,72473;0,3692;40,70
360,13145;0,24807;139,36
338,5818;3,88402;76,64
240,9266;0,1338;40,70
183,0865;0,12684;49,63
129,89725;0,25675;20,98
97,67377;0,39016;4,01
91,0686;1,83547;2,68
61,8426;0,20359;2,68
24,96249;0,21459;2,68
6,93188;0,80379;7,14
0,77892;1,57367;11,60
1,09064;45,39449;17,41
1,28585;46,65082;94,50
1,1545;28,69089;90,03
2,11459;18,16897;85,57
12,51186;2,20041;85,57
80,95359;19,08795;54,09
108,12091;18,60311;45,16
121,13665;17,52771;40,70
214,47638;0,16791;36,23
261,54615;7,19096;40,70
169,19625;10,79992;40,70
154,45468;12,56967;40,70
132,51285;42,96377;40,70
122,36134;65,21631;139,36
115,98679;77,57804;76,64
113,65566;61,07764;40,70
105,64387;69,60561;49,63
90,23878;73,66843;20,98
66,61411;57,30784;4,01
64,6436;64,07829;2,68
1,12886;1,19628;2,68
1,16988;1,41404;2,68
1,1803;1,54476;7,14
1,09249;1,46915;11,60
30,1696;38,79832;17,41
30,413;43,46647;94,50
1,30382;10,77039;90,03
1,29823;6,70764;85,57
1,37048;3,84969;85,57
1,50708;2,01428;54,09
1,32498;2,00211;45,16
14,8686;0,32246;40,70
19,88945;0,18651;36,23
16,32063;0,17873;40,70
22,69844;0,35077;40,70
23,53049;0,98985;40,70
20,28312;1,02895;40,70
22,85424;0,30779;139,36
14,65804;0,425;76,64
1,92926;1,12347;40,70
1,53483;2,03677;49,63
1,44144;4,40549;20,98
1,95328;7,3337;4,01
1,75147;14,59927;2,68
1,45276;3,02474;2,68
1,35151;3,17088;2,68
1,59616;4,26592;7,14
1,80498;4,78386;11,60
1,7445;22,49729;17,41
1,96029;24,54146;94,50
2,32135;20,54304;90,03
2,5071;15,13178;85,57
3,22231;9,95207;85,57
4,10616;6,85402;54,09
4,87673;6,01694;45,16
5,5335;3,73179;40,70
5,78758;2,85435;36,23
6,04197;3,5477;40,70
6,15945;4,37267;40,70
6,17659;6,37364;40,70
6,07986;7,82962;40,70
5,91163;10,77767;139,36
5,7044;14,97205;76,64
5,4918;11,11025;40,70
5,30926;18,28133;49,63
5,20435;22,50505;20,98
5,12102;35,02929;4,01
5,05003;45,83256;2,68
4,99846;31,62562;2,68
4,95287;33,77034;2,68
4,89516;45,8482;7,14
4,84031;47,62488;11,60
4,79317;114,32166;17,41
4,74899;108,22244;94,50
4,75362;91,07907;90,03
6,92422;56,90364;85,57
11,78929;21,94713;85,57
13,78977;13,68066;54,09
14,07995;13,64514;45,16
14,42681;9,6954;40,70
11,04092;9,72947;36,23
16,48804;6,03212;40,70
25,90446;3,197;40,70
23,37968;4,75843;40,70
16,83961;11,86673;40,70
8,32956;13,41404;139,36
5,40067;28,85407;76,64
5,1067;1,94152;40,70
4,75415;3,86143;49,63
5,61175;10,46505;20,98
5,75835;18,14023;4,01
5,64371;28,25544;2,68
5,53915;29,49186;2,68
5,44092;35,02027;2,68
5,35652;34,16473;7,14
5,27643;40,04461;11,60
5,19727;109,35119;17,41
5,12299;104,86679;94,50
5,10544;84,97013;90,03
7,20215;60,0453;85,57
12,01523;28,18534;85,57
12,34827;14,62133;54,09
13,64678;9,40452;45,16
13,98479;6,11845;40,70
11,14472;4,69588;36,23
14,11864;4,24042;40,70
18,18198;4,00518;40,70
20,43803;4,56719;40,70
16,10825;11,87053;40,70
7,60919;11,51974;139,36
5,17277;29,38353;76,64
4,8143;4,93419;40,70
4,59641;11,30338;49,63
4,48549;15,96367;20,98
4,3336;20,4487;4,01
4,26929;25,48863;2,68
4,11354;21,91006;2,68
4,0826;23,62973;2,68
4,05988;25,34601;7,14
3,87565;26,00892;11,60
3,64088;88,7195;17,41
3,63065;84,8107;94,50
3,64963;65,56621;90,03
5,7759;48,00868;85,57
10,27319;18,56868;85,57
10,77339;11,17826;54,09
12,37643;8,97457;45,16
13,59254;5,22485;40,70
25,14272;1,36138;36,23
15,57133;2,51856;40,70
32,64252;1,276;40,70
50,77436;2,83621;40,70
78,29286;5,38559;40,70
23,96247;8,32317;139,36
29,8105;21,26487;76,64
5,56405;0,12041;40,70
3,00567;2,40898;49,63
3,10813;6,12891;20,98
3,60639;9,96666;4,01
3,88763;15,80023;2,68
4,3613;13,69935;2,68
4,23248;18,05287;2,68
4,33571;18,70579;7,14
4,62402;22,05559;11,60
4,5729;79,27034;17,41
4,70053;71,15393;94,50
4,31089;55,47925;90,03
5,72104;26,30758;85,57
9,83979;9,46626;85,57
24,00628;6,08119;54,09
19,60662;6,23893;45,16
30,5558;1,77859;40,70
30,24475;0,71832;36,23
31,12586;0,81667;40,70
68,94393;0,42535;40,70
52,55099;1,19052;40,70
47,90333;4,17279;40,70
34,95208;5,32393;139,36
10,44422;22,41335;76,64
1,97249;0,11492;40,70
2,22293;1,6262;49,63
2,34418;2,9872;20,98
2,57064;6,19835;4,01
2,73175;9,75417;2,68
2,97189;3,87734;2,68
2,64057;5,20908;2,68
2,94673;5,49786;7,14
2,7935;4,77666;11,60
2,53182;67,8923;17,41
2,33628;66,6912;94,50
2,3603;45,65;90,03
3,80046;33,51469;85,57
7,91078;13,0911;85,57
8,51861;11,93505;54,09
15,50446;6,3591;45,16
23,97086;2,37319;40,70
20,481;1,15806;36,23
37,50421;0,48778;40,70
49,58063;0,6333;40,70
67,03482;1,45503;40,70
49,52601;4,15903;40,70
9,43395;8,45682;139,36
2,4111;24,7449;76,64
2,33003;0,11924;40,70
2,27596;1,81616;49,63
2,17434;3,04848;20,98
2,44562;6,68542;4,01
2,44903;11,70952;2,68
2,56903;3,70404;2,68
2,70343;5,64437;2,68
3,05783;9,12794;7,14
3,10439;12,17678;11,60
3,15665;25,68542;17,41
3,37118;27,07287;94,50
3,50311;22,49952;90,03
3,09541;6,96999;85,57
3,11588;6,81246;85,57
3,17299;2,5438;54,09
4,86882;2,58309;45,16
17,15219;0,30754;40,70
32,29342;0,17085;36,23
48,38835;0,16288;40,70
71,91204;0,33532;40,70
122,8038;0,42502;40,70
129,98707;0,46355;40,70
136,07464;0,29383;139,36
54,03767;0,56971;76,64
4,51139;1,24608;40,70
1,90673;2,22795;49,63
2,34841;4,59558;20,98
2,89589;5,92922;4,01
3,1867;14,62461;2,68
3,45214;5,5356;2,68
3,1981;8,05499;2,68
3,84107;9,41232;7,14
4,31882;12,36383;11,60
4,48768;14,72592;17,41
3,6857;26,03072;94,50
3,48948;19,13555;90,03
2,7304;11,3799;85,57
1,91346;4,80717;85,57
10,45244;1,17067;54,09
84,47298;0,70774;45,16
123,53659;0,33026;40,70
160,8018;0,19349;36,23
157,54832;0,18524;40,70
189,8108;0,3571;40,70
209,10231;0,44633;40,70
205,55957;0,42492;40,70
255,74834;0,31478;139,36
194,14564;0,17886;76,64
132,50567;0,64553;40,70
67,7765;1,41296;49,63
14,94261;2,29765;20,98
3,02494;3,5238;4,01
1,26704;9,93816;2,68
1,5188;1,52419;2,68
1,57338;1,50748;2,68
1,77437;3,26138;7,14
1,80111;2,45367;11,60
2,03623;74,63302;17,41
2,15957;67,30978;94,50
2,0772;49,59451;90,03
3,67205;36,85738;85,57
7,89754;19,14618;85,57
9,51723;15,87929;54,09
15,39871;12,8713;45,16
21,50663;8,27642;40,70
15,63501;6,79964;36,23
29,17388;5,36639;40,70
42,02764;3,97319;40,70
59,29761;4,37567;40,70
63,32846;8,8724;40,70
65,91654;8,01219;139,36
71,68286;21,10777;76,64
38,65196;0,15691;40,70
3,26711;0,15016;49,63
2,47416;0,56412;20,98
3,29826;2,33309;4,01
3,57979;6,57823;2,68
3,57482;2,29003;2,68
3,78305;4,03827;2,68
4,15623;5,2365;7,14
4,22567;6,16477;11,60
4,76084;59,28737;17,41
4,86284;54,31771;94,50
4,63974;39,04025;90,03
6,18507;29,35672;85,57
10,14624;13,0642;85,57
9,69899;11,90398;54,09
14,53901;10,04004;45,16
24,87687;4,64508;40,70
21,49926;3,15076;36,23
47,24595;1,34422;40,70
75,6001;1,14374;40,70
202,74032;0,70842;40,70
279,20608;2,71416;40,70
266,97108;3,55318;139,36
250,13952;26,13627;76,64
164,57936;11,38756;40,70
97,26313;13,02881;49,63
65,20356;17,45677;20,98
42,87723;22,21318;4,01
7,53572;3,53513;2,68
5,76113;0,77836;2,68
1,32274;1,2261;2,68
1,72921;1,48891;7,14
1,66798;1,63117;11,60
1,80104;56,02959;17,41
2,01655;55,31096;94,50
2,21728;35,33313;90,03
4,25924;17,05874;85,57
81,53791;23,30076;85,57
200,66694;30,60546;54,09
270,54722;15,89414;45,16
330,32927;7,04542;40,70
368,99311;1,61082;36,23
461,78688;0,20709;40,70
471,98273;0,33327;40,70
483,10373;0,41911;40,70
543,74559;0,40563;40,70
508,00883;0,28025;139,36
362,89639;7,46922;76,64
331,95703;0,40975;40,70
311,79563;0,43448;49,63
263,16861;1,80693;20,98
