Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
2,66018;67,94563;54,09
3,28569;43,16427;45,16
3,50487;33,76839;40,70
2,19723;40,55644;36,23
3,09417;28,33458;40,70
3,8144;25,71418;40,70
3,89737;29,38432;40,70
3,28784;43,43232;40,70
50,83186;109,51527;139,36
50,26923;133,94238;76,64
48,80329;92,58891;40,70
46,13675;89,65901;49,63
45,15888;89,66498;20,98
43,93754;92,95218;4,01
44,88058;105,89019;2,68
0,62295;74,97144;2,68
0,71788;76,76177;2,68
0,68891;55,43786;7,14
0,74258;86,29994;11,60
0,77587;157,87358;17,41
0,70268;140,36458;94,50
0,69367;122,97415;90,03
1,41419;132,80777;85,57
2,67577;66,06466;85,57
2,58626;64,22498;54,09
3,26018;33,09607;45,16
3,4324;28,97709;40,70
2,05537;24,68496;36,23
2,79368;8,18137;40,70
5,01009;3,78782;40,70
4,51241;6,00582;40,70
3,14016;40,04472;40,70
1,64441;66,21958;139,36
0,99776;77,71925;76,64
0,92887;21,33424;40,70
1,0852;26,59365;49,63
1,07409;26,45055;20,98
1,06345;30,18004;4,01
1,04592;68,75617;2,68
1,03093;56,32245;2,68
1,0139;83,78715;2,68
0,99923;86,374;7,14
0,98898;67,42888;11,60
0,98165;132,89715;17,41
0,97036;144,21339;94,50
0,96088;115,72579;90,03
1,48773;123,05367;85,57
2,82389;77,04692;85,57
3,02671;51,00101;54,09
10,58638;13,21397;45,16
4,44806;5,26146;40,70
2,66764;5,59175;36,23
17,76912;1,15755;40,70
4,7332;4,54495;40,70
4,76625;7,25164;40,70
3,96285;24,93761;40,70
1,86247;34,4759;139,36
1,25218;56,36098;76,64
1,22117;25,5622;40,70
1,20068;26,79018;49,63
1,18641;22,88552;20,98
1,17282;26,69623;4,01
1,16184;31,63706;2,68
1,14957;34,62611;2,68
1,14004;29,78246;2,68
1,13084;32,09153;7,14
1,11674;62,41267;11,60
1,11008;42,23246;17,41
0,82218;43,24339;94,50
0,57451;39,91001;90,03
0,51975;35,44751;85,57
0,46556;33,42493;85,57
0,50879;30,28728;54,09
44,52086;70,99407;45,16
42,84953;62,0069;40,70
0,35493;16,40299;36,23
0,35333;16,20258;40,70
0,2973;19,72375;40,70
0,29173;38,6032;40,70
0,32757;29,88878;40,70
0,2885;29,03114;139,36
0,23351;28,46238;76,64
0,46125;28,818;40,70
0,41085;29,64884;49,63
0,38165;31,14606;20,98
43,21675;78,19515;4,01
42,24844;85,42763;2,68
40,58094;67,04146;2,68
39,88169;66,22177;2,68
0,07039;27,59713;7,14
0,19107;28,47002;11,60
0,26886;54,63622;17,41
0,35293;48,97703;94,50
0,50155;45,06918;90,03
0,54213;41,65736;85,57
0,56211;39,76024;85,57
0,66298;34,82471;54,09
0,63661;27,67877;45,16
0,64209;17,99478;40,70
0,59403;13,97618;36,23
0,56597;7,25906;40,70
0,61565;15,24486;40,70
0,65244;23,75856;40,70
0,92291;29,47332;40,70
0,94611;33,01627;139,36
0,93666;38,31921;76,64
0,92949;38,28995;40,70
0,92463;38,74972;49,63
0,92086;39,84407;20,98
0,91791;41,98242;4,01
0,91513;50,33331;2,68
0,91177;41,19256;2,68
0,9095;41,38462;2,68
0,88573;41,9939;7,14
0,90512;43,42686;11,60
0,90379;119,49461;17,41
0,90161;110,80945;94,50
0,90031;89,01798;90,03
1,43875;68,15348;85,57
